,recipe,n,k,k+0,OPT_GFT,OPT_GFT+0,McAfee_k',%k',total_gft,%total_gft,market_gft,market_%gft,McAfee_Without_Heuristic_k',%k',total_gft,%total_gft,market_gft,market_%gft,SBB_External_Competition_k',%k',gft,%gft,market_gft,market_%gft,SBB_Ascending_Prices_k,%k',gft,%gft,market_gft,market_%gft
E,1:1,4,3,3,600,600,2,66.666,550.0,91.667,450.0,75.0,2,66.666,550.0,91.667,450.0,75.0,1,33.333,500.0,83.333,500.0,83.333,3,100.0,600.0,100.0,600.0,100.0
E,1:1,5,3,3,1400,1400,2,66.666,1350.0,96.429,1250.0,89.286,2,66.666,1350.0,96.429,1250.0,89.286,2,66.666,1350.0,96.429,1350.0,96.429,3,100.0,1400.0,100.0,1400.0,100.0
E,1:1,10,5,7,2550,2550,6,85.714,2550.0,100.0,2550.0,100.0,6,85.714,2550.0,100.0,2550.0,100.0,4,80.0,2340.0,91.765,2340.0,91.765,6,85.714,2400.0,94.118,2400.0,94.118
E,1:1,15,8,9,4300,4300,8,88.888,4300.0,100.0,4300.0,100.0,8,88.888,4300.0,100.0,4300.0,100.0,7,87.5,4025.0,93.605,4025.0,93.605,8,88.888,4066.67,94.574,4066.67,94.574
E,1:1,25,13,15,11350,11350,14,93.333,11350.0,100.0,11350.0,100.0,14,93.333,11350.0,100.0,11350.0,100.0,13,100.0,11350.0,100.0,11350.0,100.0,14,93.333,11016.67,97.063,11016.67,97.063
E,1:1,50,26,26,33800,33800,26,100.0,33800.0,100.0,33800.0,100.0,25,96.153,33750.0,99.852,32500.0,96.154,25,96.153,33075.0,97.855,33075.0,97.855,26,100.0,33800.0,100.0,33800.0,100.0
E,1:1,100,52,54,73550,73550,54,100.0,73550.0,100.0,73550.0,100.0,53,98.148,73550.0,100.0,73550.0,100.0,50,96.153,72365.38,98.389,72365.38,98.389,53,98.148,72758.33,98.924,72758.33,98.924
E,1:1,500,253,254,1317504,1317504,254,100.0,1317504.0,100.0,1317504.0,100.0,253,99.606,1317504.0,100.0,1317504.0,100.0,252,99.604,1314530.55,99.774,1314530.55,99.774,253,99.606,1314542.25,99.775,1314542.25,99.775
E,1:1,1000,512,514,2997138,2997138,513,99.805,2997138.0,100.0,2997138.0,100.0,513,99.805,2997138.0,100.0,2997138.0,100.0,510,99.609,2993205.34,99.869,2993205.34,99.869,514,100.0,2997138.0,100.0,2997138.0,100.0
E,1:1,2000,1036,1038,6868983,6868983,1037,99.903,6868983.0,100.0,6868983.0,100.0,1037,99.903,6868983.0,100.0,6868983.0,100.0,1031,99.517,6852378.51,99.758,6852378.51,99.758,1037,99.903,6865679.98,99.952,6865679.98,99.952
E,1:1,5000,2519,2519,65168363,65168363,2519,100.0,65168363.0,100.0,65168363.0,100.0,2518,99.96,65168338.0,100.0,65105388.0,99.903,2519,100.0,65168363.0,100.0,65168363.0,100.0,2519,100.0,65168363.0,100.0,65168363.0,100.0
E,1:1,10000,5017,5017,128247989,128247989,5016,99.98,128247979.0,100.0,128197819.0,99.961,5016,99.98,128247979.0,100.0,128197819.0,99.961,5016,99.98,128239759.61,99.994,128239759.61,99.994,5016,99.98,128239759.61,99.994,128239759.61,99.994
E,1:1,12474,6275,6278,146015475,146015475,6277,99.984,146015475.0,100.0,146015475.0,100.0,6277,99.984,146015475.0,100.0,146015475.0,100.0,6273,99.968,145985818.42,99.98,145985818.42,99.98,6277,99.984,146007037.93,99.994,146007037.93,99.994
EBAY,1:1,2,1,1,154,154,1,100.0,154.0,100.0,154.0,100.0,0,0.0,0,0.0,0,0.0,1,100.0,154.0,100.0,154.0,100.0,1,100.0,154.0,100.0,154.0,100.0
EBAY,1:1,3,2,2,214,214,2,100.0,214.0,100.0,214.0,100.0,1,50.0,154.0,71.963,94.0,43.925,1,50.0,136.5,63.785,136.5,63.785,1,50.0,136.5,63.785,136.5,63.785
EBAY,1:1,4,3,3,230,230,3,100.0,230.0,100.0,230.0,100.0,2,66.666,214.0,93.043,182.0,79.13,2,66.666,180.33,78.406,180.33,78.406,2,66.666,180.33,78.406,180.33,78.406
EBAY,1:1,5,3,3,268,268,3,100.0,268.0,100.0,268.0,100.0,2,66.666,219.0,81.716,121.0,45.149,3,100.0,268.0,100.0,268.0,100.0,3,100.0,268.0,100.0,268.0,100.0
EBAY,1:1,10,5,5,947,947,5,100.0,947.0,100.0,947.0,100.0,4,80.0,886.0,93.559,642.0,67.793,5,100.0,947.0,100.0,947.0,100.0,5,100.0,947.0,100.0,947.0,100.0
EBAY,1:1,15,7,8,1929,1929,7,87.5,1929.0,100.0,1929.0,100.0,7,87.5,1929.0,100.0,1929.0,100.0,7,100.0,1929.0,100.0,1929.0,100.0,7,87.5,1820.5,94.375,1820.5,94.375
EBAY,1:1,25,13,13,5370,5370,13,100.0,5370.0,100.0,5370.0,100.0,12,92.307,5311.0,98.901,4603.0,85.717,13,100.0,5370.0,100.0,5370.0,100.0,13,100.0,5370.0,100.0,5370.0,100.0
EBAY,1:1,50,27,27,45224,45224,26,96.296,45190.0,99.925,44306.0,97.97,26,96.296,45190.0,99.925,44306.0,97.97,27,100.0,45224.0,100.0,45224.0,100.0,27,100.0,45224.0,100.0,45224.0,100.0
EBAY,1:1,100,53,53,148597,148597,53,100.0,148597.0,100.0,148597.0,100.0,52,98.113,148564.0,99.978,146848.0,98.823,52,98.113,146815.62,98.801,146815.62,98.801,52,98.113,146815.62,98.801,146815.62,98.801
EBAY,1:1,500,266,266,993763,993763,265,99.624,993750.0,99.999,990305.0,99.652,265,99.624,993750.0,99.999,990305.0,99.652,265,99.624,991522.48,99.775,991522.48,99.775,265,99.624,991522.48,99.775,991522.48,99.775
EBAY,1:1,1000,523,524,1521368,1521368,523,99.809,1521368.0,100.0,1521368.0,100.0,523,99.809,1521368.0,100.0,1521368.0,100.0,523,100.0,1521368.0,100.0,1521368.0,100.0,523,99.809,1519942.02,99.906,1519942.02,99.906
EBAY,1:1,2000,1018,1018,8916136,8916136,1018,100.0,8916136.0,100.0,8916136.0,100.0,1017,99.901,8916119.0,100.0,8898830.0,99.806,1018,100.0,8916136.0,100.0,8916136.0,100.0,1018,100.0,8916136.0,100.0,8916136.0,100.0
EBAY,1:1,5000,2530,2531,36549114,36549114,2530,99.96,36549114.0,100.0,36549114.0,100.0,2530,99.96,36549114.0,100.0,36549114.0,100.0,2529,99.96,36539650.66,99.974,36539650.66,99.974,2530,99.96,36544133.02,99.986,36544133.02,99.986
EBAY,1:1,10000,5072,5074,74724911,74724911,5073,99.98,74724911.0,100.0,74724911.0,100.0,5073,99.98,74724911.0,100.0,74724911.0,100.0,5072,100.0,74724911.0,100.0,74724911.0,100.0,5074,100.0,74724911.0,100.0,74724911.0,100.0
EBAY,1:1,11048,5580,5581,98438762,98438762,5581,100.0,98438762.0,100.0,98438762.0,100.0,5580,99.982,98438762.0,100.0,98438762.0,100.0,5577,99.946,98423191.43,99.984,98423191.43,99.984,5580,99.982,98433572.74,99.995,98433572.74,99.995
F,1:1,2,2,2,44,44,1,50.0,24.0,54.545,4.0,9.091,1,50.0,24.0,54.545,4.0,9.091,0,0.0,0.0,0.0,0.0,0.0,1,50.0,22.0,50.0,22.0,50.0
F,1:1,3,3,3,64,64,2,66.666,48.0,75.0,16.0,25.0,2,66.666,48.0,75.0,16.0,25.0,2,66.666,45.33,70.833,45.33,70.833,2,66.666,45.33,70.833,45.33,70.833
F,1:1,4,4,4,72,72,3,75.0,68.0,94.444,56.0,77.778,3,75.0,68.0,94.444,56.0,77.778,3,75.0,65.0,90.278,65.0,90.278,3,75.0,65.0,90.278,65.0,90.278
F,1:1,5,4,4,101,101,3,75.0,93.0,92.079,69.0,68.317,3,75.0,93.0,92.079,69.0,68.317,4,100.0,101.0,100.0,101.0,100.0,4,100.0,101.0,100.0,101.0,100.0
F,1:1,10,6,6,354,354,5,83.333,341.0,96.328,276.0,77.966,5,83.333,341.0,96.328,276.0,77.966,5,83.333,318.33,89.925,318.33,89.925,5,83.333,318.33,89.925,318.33,89.925
F,1:1,15,9,11,421,421,10,90.909,421.0,100.0,421.0,100.0,10,90.909,421.0,100.0,421.0,100.0,9,100.0,421.0,100.0,421.0,100.0,10,90.909,402.09,95.509,402.09,95.509
F,1:1,25,13,14,802,802,14,100.0,802.0,100.0,802.0,100.0,13,92.857,802.0,100.0,802.0,100.0,13,100.0,802.0,100.0,802.0,100.0,13,92.857,780.5,97.319,780.5,97.319
F,1:1,50,29,31,2134,2134,31,100.0,2134.0,100.0,2134.0,100.0,30,96.774,2134.0,100.0,2134.0,100.0,28,96.551,2098.31,98.328,2098.31,98.328,30,96.774,2100.61,98.435,2100.61,98.435
F,1:1,100,54,57,4405,4405,57,100.0,4405.0,100.0,4405.0,100.0,56,98.245,4405.0,100.0,4405.0,100.0,52,96.296,4331.04,98.321,4331.04,98.321,56,98.245,4362.75,99.041,4362.75,99.041
F,1:1,500,252,252,143169,143169,252,100.0,143169.0,100.0,143169.0,100.0,251,99.603,143161.0,99.994,141153.0,98.592,252,100.0,143169.0,100.0,143169.0,100.0,252,100.0,143169.0,100.0,143169.0,100.0
F,1:1,1000,510,510,354035,354035,510,100.0,354035.0,100.0,354035.0,100.0,509,99.803,354031.0,99.999,351995.0,99.424,504,98.823,352055.01,99.441,352055.01,99.441,510,100.0,354035.0,100.0,354035.0,100.0
F,1:1,2000,1019,1030,512798,512798,1029,99.902,512798.0,100.0,512798.0,100.0,1029,99.902,512798.0,100.0,512798.0,100.0,1012,99.313,510539.05,99.559,510539.05,99.559,1030,100.0,512798.0,100.0,512798.0,100.0
F,1:1,5000,2510,2511,10195126,10195126,2510,99.96,10195126.0,100.0,10195126.0,100.0,2510,99.96,10195126.0,100.0,10195126.0,100.0,2507,99.88,10184647.93,99.897,10184647.93,99.897,2510,99.96,10194557.11,99.994,10194557.11,99.994
F,1:1,10000,5035,5041,56777601,56777601,5040,99.98,56777601.0,100.0,56777601.0,100.0,5040,99.98,56777601.0,100.0,56777601.0,100.0,5027,99.841,56725584.75,99.908,56725584.75,99.908,5040,99.98,56772832.13,99.992,56772832.13,99.992
F,1:1,20000,10073,10084,115588297,115588297,10083,99.99,115588297.0,100.0,115588297.0,100.0,10083,99.99,115588297.0,100.0,115588297.0,100.0,10065,99.92,115536589.4,99.955,115536589.4,99.955,10083,99.99,115583290.86,99.996,115583290.86,99.996
F,1:1,24346,12275,12279,131282881,131282881,12278,99.991,131282881.0,100.0,131282881.0,100.0,12278,99.991,131282881.0,100.0,131282881.0,100.0,12247,99.771,131119550.26,99.876,131119550.26,99.876,12278,99.991,131278020.68,99.996,131278020.68,99.996
FCEL,1:1,2,1,2,3000,3000,1,50.0,3000.0,100.0,3000.0,100.0,1,50.0,3000.0,100.0,3000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,1,50.0,3000.0,100.0,3000.0,100.0
FCEL,1:1,3,1,3,6000,6000,2,66.666,6000.0,100.0,6000.0,100.0,2,66.666,6000.0,100.0,6000.0,100.0,1,100.0,6000.0,100.0,6000.0,100.0,2,66.666,5000.0,83.333,5000.0,83.333
FCEL,1:1,4,1,4,6000,6000,3,75.0,6000.0,100.0,6000.0,100.0,3,75.0,6000.0,100.0,6000.0,100.0,1,100.0,6000.0,100.0,6000.0,100.0,3,75.0,5250.0,87.5,5250.0,87.5
FCEL,1:1,5,2,5,9000,9000,4,80.0,9000.0,100.0,9000.0,100.0,4,80.0,9000.0,100.0,9000.0,100.0,1,50.0,6000.0,66.667,6000.0,66.667,4,80.0,7800.0,86.667,7800.0,86.667
FCEL,1:1,10,4,9,24000,24000,9,100.0,24000.0,100.0,24000.0,100.0,8,88.888,24000.0,100.0,24000.0,100.0,4,100.0,24000.0,100.0,24000.0,100.0,8,88.888,22666.67,94.444,22666.67,94.444
FCEL,1:1,15,7,12,39000,39000,11,91.666,39000.0,100.0,39000.0,100.0,11,91.666,39000.0,100.0,39000.0,100.0,4,57.142,27428.57,70.33,27428.57,70.33,12,100.0,39000.0,100.0,39000.0,100.0
FCEL,1:1,25,14,18,90000,90000,17,94.444,90000.0,100.0,90000.0,100.0,17,94.444,90000.0,100.0,90000.0,100.0,7,50.0,55500.0,61.667,55500.0,61.667,18,100.0,90000.0,100.0,90000.0,100.0
FCEL,1:1,50,29,36,210000,210000,35,97.222,210000.0,100.0,210000.0,100.0,35,97.222,210000.0,100.0,210000.0,100.0,22,75.862,178137.93,84.828,178137.93,84.828,36,100.0,210000.0,100.0,210000.0,100.0
FCEL,1:1,100,54,67,906000,906000,66,98.507,906000.0,100.0,906000.0,100.0,66,98.507,906000.0,100.0,906000.0,100.0,48,88.888,858000.0,94.702,858000.0,94.702,66,98.507,898925.37,99.219,898925.37,99.219
FCEL,1:1,500,250,264,18928500,18928500,263,99.621,18928500.0,100.0,18928500.0,100.0,263,99.621,18928500.0,100.0,18928500.0,100.0,241,96.4,18636036.0,98.455,18636036.0,98.455,264,100.0,18928500.0,100.0,18928500.0,100.0
FCEL,1:1,1000,506,527,34172250,34172250,526,99.81,34172250.0,100.0,34172250.0,100.0,526,99.81,34172250.0,100.0,34172250.0,100.0,464,91.699,32889465.42,96.246,32889465.42,96.246,527,100.0,34172250.0,100.0,34172250.0,100.0
FCEL,1:1,2000,995,1053,317212500,317212500,1052,99.905,317212500.0,100.0,317212500.0,100.0,1052,99.905,317212500.0,100.0,317212500.0,100.0,992,99.698,316375515.83,99.736,316375515.83,99.736,1052,99.905,317174881.05,99.988,317174881.05,99.988
FCEL,1:1,5000,2521,2522,3611515297,3611515297,2521,99.96,3611515297.0,100.0,3611515297.0,100.0,2521,99.96,3611515297.0,100.0,3611515297.0,100.0,2521,100.0,3611515297.0,100.0,3611515297.0,100.0,2521,99.96,3611265861.5,99.993,3611265861.5,99.993
FCEL,1:1,10000,5037,5084,6400851959,6400851959,5083,99.98,6400851959.0,100.0,6400851959.0,100.0,5083,99.98,6400851959.0,100.0,6400851959.0,100.0,5024,99.741,6386040096.17,99.769,6386040096.17,99.769,5083,99.98,6400721781.03,99.998,6400721781.03,99.998
FCEL,1:1,14206,7132,7208,8252946282,8252946282,7207,99.986,8252946282.0,100.0,8252946282.0,100.0,7207,99.986,8252946282.0,100.0,8252946282.0,100.0,7125,99.901,8251920081.07,99.988,8251920081.07,99.988,7208,100.0,8252946282.0,100.0,8252946282.0,100.0
GILD,1:1,2,2,2,194,194,1,50.0,171.0,88.144,148.0,76.289,1,50.0,171.0,88.144,148.0,76.289,1,50.0,112.5,57.99,112.5,57.99,1,50.0,112.5,57.99,112.5,57.99
GILD,1:1,3,2,2,241,241,2,100.0,241.0,100.0,241.0,100.0,1,50.0,187.0,77.593,133.0,55.187,2,100.0,241.0,100.0,241.0,100.0,2,100.0,241.0,100.0,241.0,100.0
GILD,1:1,4,3,3,296,296,3,100.0,296.0,100.0,296.0,100.0,2,66.666,281.0,94.932,251.0,84.797,2,66.666,216.0,72.973,216.0,72.973,2,66.666,216.0,72.973,216.0,72.973
GILD,1:1,5,3,3,343,343,3,100.0,343.0,100.0,343.0,100.0,2,66.666,312.0,90.962,250.0,72.886,2,66.666,247.0,72.012,247.0,72.012,3,100.0,343.0,100.0,343.0,100.0
GILD,1:1,10,6,6,561,561,6,100.0,561.0,100.0,561.0,100.0,5,83.333,553.0,98.574,513.0,91.444,5,83.333,501.17,89.335,501.17,89.335,6,100.0,561.0,100.0,561.0,100.0
GILD,1:1,15,8,10,686,686,9,90.0,686.0,100.0,686.0,100.0,9,90.0,686.0,100.0,686.0,100.0,8,100.0,686.0,100.0,686.0,100.0,9,90.0,648.8,94.577,648.8,94.577
GILD,1:1,25,13,14,1724,1724,13,92.857,1724.0,100.0,1724.0,100.0,13,92.857,1724.0,100.0,1724.0,100.0,13,100.0,1724.0,100.0,1724.0,100.0,14,100.0,1724.0,100.0,1724.0,100.0
GILD,1:1,50,26,28,3184,3184,27,96.428,3184.0,100.0,3184.0,100.0,27,96.428,3184.0,100.0,3184.0,100.0,23,88.461,2913.54,91.506,2913.54,91.506,27,96.428,3154.0,99.058,3154.0,99.058
GILD,1:1,100,51,52,10410,10410,51,98.076,10410.0,100.0,10410.0,100.0,51,98.076,10410.0,100.0,10410.0,100.0,51,100.0,10410.0,100.0,10410.0,100.0,51,98.076,10322.4,99.159,10322.4,99.159
GILD,1:1,500,254,269,36869,36869,268,99.628,36869.0,100.0,36869.0,100.0,268,99.628,36869.0,100.0,36869.0,100.0,249,98.031,36548.98,99.132,36548.98,99.132,268,99.628,36808.57,99.836,36808.57,99.836
GILD,1:1,1000,517,521,111742,111742,520,99.808,111742.0,100.0,111742.0,100.0,520,99.808,111742.0,100.0,111742.0,100.0,495,95.744,108797.57,97.365,108797.57,97.365,520,99.808,111660.33,99.927,111660.33,99.927
GILD,1:1,2000,1006,1010,731500,731500,1009,99.9,731500.0,100.0,731500.0,100.0,1009,99.9,731500.0,100.0,731500.0,100.0,1006,100.0,731500.0,100.0,731500.0,100.0,1009,99.9,731236.99,99.964,731236.99,99.964
GILD,1:1,5000,2513,2513,35379108,35379108,2513,100.0,35379108.0,100.0,35379108.0,100.0,2512,99.96,35379102.0,100.0,35364030.0,99.957,2513,100.0,35379108.0,100.0,35379108.0,100.0,2513,100.0,35379108.0,100.0,35379108.0,100.0
GILD,1:1,10000,5024,5025,193517574,193517574,5024,99.98,193517574.0,100.0,193517574.0,100.0,5024,99.98,193517574.0,100.0,193517574.0,100.0,5023,99.98,193481837.45,99.982,193481837.45,99.982,5024,99.98,193514792.47,99.999,193514792.47,99.999
GILD,1:1,14422,7227,7227,353032416,353032416,7226,99.986,353032411.0,100.0,352996281.0,99.99,7226,99.986,353032411.0,100.0,352996281.0,99.99,7226,99.986,353020494.0,99.997,353020494.0,99.997,7227,100.0,353032416.0,100.0,353032416.0,100.0
GOOG,1:1,2,2,2,6042,6042,1,50.0,4523.0,74.859,3004.0,49.719,1,50.0,4523.0,74.859,3004.0,49.719,1,50.0,4271.5,70.697,4271.5,70.697,1,50.0,4271.5,70.697,4271.5,70.697
GOOG,1:1,3,2,2,10735,10735,2,100.0,10735.0,100.0,10735.0,100.0,1,50.0,6715.0,62.552,2695.0,25.105,1,50.0,6463.5,60.21,6463.5,60.21,1,50.0,6463.5,60.21,6463.5,60.21
GOOG,1:1,4,2,2,11990,11990,2,100.0,11990.0,100.0,11990.0,100.0,1,50.0,6715.0,56.005,1440.0,12.01,2,100.0,11990.0,100.0,11990.0,100.0,2,100.0,11990.0,100.0,11990.0,100.0
GOOG,1:1,5,3,3,14042,14042,2,66.666,11990.0,85.387,7886.0,56.16,2,66.666,11990.0,85.387,7886.0,56.16,2,66.666,10510.33,74.849,10510.33,74.849,2,66.666,10510.33,74.849,10510.33,74.849
GOOG,1:1,10,7,7,21430,21430,6,85.714,21325.0,99.51,20695.0,96.57,6,85.714,21325.0,99.51,20695.0,96.57,6,85.714,20203.57,94.277,20203.57,94.277,6,85.714,20203.57,94.277,20203.57,94.277
GOOG,1:1,15,9,9,30667,30667,8,88.888,30164.0,98.36,26140.0,85.238,8,88.888,30164.0,98.36,26140.0,85.238,8,88.888,29396.0,95.855,29396.0,95.855,8,88.888,29396.0,95.855,29396.0,95.855
GOOG,1:1,25,15,15,84523,84523,14,93.333,84274.0,99.705,80788.0,95.581,14,93.333,84274.0,99.705,80788.0,95.581,14,93.333,81934.33,96.937,81934.33,96.937,14,93.333,81934.33,96.937,81934.33,96.937
GOOG,1:1,50,26,26,522640,522640,26,100.0,522640.0,100.0,522640.0,100.0,25,96.153,521749.0,99.83,499474.0,95.568,26,100.0,522640.0,100.0,522640.0,100.0,26,100.0,522640.0,100.0,522640.0,100.0
GOOG,1:1,100,53,53,1554692,1554692,52,98.113,1554452.0,99.985,1541972.0,99.182,52,98.113,1554452.0,99.985,1541972.0,99.182,53,100.0,1554692.0,100.0,1554692.0,100.0,53,100.0,1554692.0,100.0,1554692.0,100.0
GOOG,1:1,500,256,256,22776556,22776556,255,99.609,22776506.0,100.0,22763756.0,99.944,255,99.609,22776506.0,100.0,22763756.0,99.944,255,99.609,22729441.81,99.793,22729441.81,99.793,255,99.609,22729441.81,99.793,22729441.81,99.793
GOOG,1:1,1000,505,505,59647983,59647983,505,100.0,59647983.0,100.0,59647983.0,100.0,504,99.801,59647605.0,99.999,59457093.0,99.68,505,100.0,59647983.0,100.0,59647983.0,100.0,505,100.0,59647983.0,100.0,59647983.0,100.0
GOOG,1:1,2000,1019,1019,109546266,109546266,1019,100.0,109546266.0,100.0,109546266.0,100.0,1018,99.901,109546152.0,100.0,109430100.0,99.894,1019,100.0,109546266.0,100.0,109546266.0,100.0,1019,100.0,109546266.0,100.0,109546266.0,100.0
GOOG,1:1,5000,2517,2517,1338111168,1338111168,2517,100.0,1338111168.0,100.0,1338111168.0,100.0,2516,99.96,1338111153.0,100.0,1338073413.0,99.997,2516,99.96,1338019811.89,99.993,1338019811.89,99.993,2516,99.96,1338019811.89,99.993,1338019811.89,99.993
GOOG,1:1,8082,4056,4056,2441909148,2441909148,4056,100.0,2441909148.0,100.0,2441909148.0,100.0,4055,99.975,2441908879.0,100.0,2440818084.0,99.955,4055,99.975,2441797014.73,99.995,2441797014.73,99.995,4055,99.975,2441797014.73,99.995,2441797014.73,99.995
HBAN,1:1,2,2,2,114,114,1,50.0,76.0,66.667,38.0,33.333,1,50.0,76.0,66.667,38.0,33.333,1,50.0,76.0,66.667,76.0,66.667,1,50.0,76.0,66.667,76.0,66.667
HBAN,1:1,3,3,3,190,190,2,66.666,152.0,80.0,76.0,40.0,2,66.666,152.0,80.0,76.0,40.0,2,66.666,145.67,76.667,145.67,76.667,2,66.666,145.67,76.667,145.67,76.667
HBAN,1:1,4,3,3,209,209,2,66.666,171.0,81.818,95.0,45.455,2,66.666,171.0,81.818,95.0,45.455,2,66.666,152.0,72.727,152.0,72.727,3,100.0,209.0,100.0,209.0,100.0
HBAN,1:1,5,4,4,285,285,3,75.0,247.0,86.667,133.0,46.667,3,75.0,247.0,86.667,133.0,46.667,3,75.0,228.0,80.0,228.0,80.0,4,100.0,285.0,100.0,285.0,100.0
HBAN,1:1,10,7,8,608,608,7,87.5,608.0,100.0,608.0,100.0,7,87.5,608.0,100.0,608.0,100.0,3,42.857,325.71,53.571,325.71,53.571,7,87.5,593.75,97.656,593.75,97.656
HBAN,1:1,15,10,10,1867,1867,9,90.0,1829.0,97.965,1487.0,79.646,9,90.0,1829.0,97.965,1487.0,79.646,9,90.0,1802.4,96.54,1802.4,96.54,9,90.0,1802.4,96.54,1802.4,96.54
HBAN,1:1,25,15,15,2592,2592,15,100.0,2592.0,100.0,2592.0,100.0,14,93.333,2535.0,97.801,1737.0,67.014,11,73.333,2262.67,87.294,2262.67,87.294,15,100.0,2592.0,100.0,2592.0,100.0
HBAN,1:1,50,32,35,4740,4740,34,97.142,4740.0,100.0,4740.0,100.0,34,97.142,4740.0,100.0,4740.0,100.0,25,78.125,4212.16,88.864,4212.16,88.864,35,100.0,4740.0,100.0,4740.0,100.0
HBAN,1:1,100,53,53,23952,23952,53,100.0,23952.0,100.0,23952.0,100.0,52,98.113,23933.0,99.921,22945.0,95.796,52,98.113,23805.55,99.389,23805.55,99.389,52,98.113,23805.55,99.389,23805.55,99.389
HBAN,1:1,500,259,261,183271,183271,260,99.616,183271.0,100.0,183271.0,100.0,260,99.616,183271.0,100.0,183271.0,100.0,243,93.822,177830.69,97.032,177830.69,97.032,260,99.616,182933.59,99.816,182933.59,99.816
HBAN,1:1,1000,525,528,420999,420999,527,99.81,420999.0,100.0,420999.0,100.0,527,99.81,420999.0,100.0,420999.0,100.0,491,93.523,407476.52,96.788,407476.52,96.788,528,100.0,420999.0,100.0,420999.0,100.0
HBAN,1:1,2000,1008,1009,2664820,2664820,1008,99.9,2664820.0,100.0,2664820.0,100.0,1008,99.9,2664820.0,100.0,2664820.0,100.0,1008,100.0,2664820.0,100.0,2664820.0,100.0,1008,99.9,2664103.23,99.973,2664103.23,99.973
