,recipe,n,k,k+0,OPT_GFT,OPT_GFT+0,McAfee_k',%k',total_gft,%total_gft,market_gft,market_%gft,McAfee_Without_Heuristic_k',%k',total_gft,%total_gft,market_gft,market_%gft,SBB_External_Competition_k',%k',gft,%gft,market_gft,market_%gft,SBB_Ascending_Prices_k,%k',gft,%gft,market_gft,market_%gft
MSFT,1:1,100,52,52,707,707,52,100.0,707.0,100.0,707.0,100.0,51,98.076,705.0,99.717,603.0,85.29,52,100.0,707.0,100.0,707.0,100.0,52,100.0,707.0,100.0,707.0,100.0
MSFT,1:1,500,253,253,59556,59556,252,99.604,59555.0,99.998,59303.0,99.575,252,99.604,59555.0,99.998,59303.0,99.575,252,99.604,59410.51,99.756,59410.51,99.756,253,100.0,59556.0,100.0,59556.0,100.0
MSFT,1:1,1000,516,521,105352,105352,520,99.808,105352.0,100.0,105352.0,100.0,520,99.808,105352.0,100.0,105352.0,100.0,511,99.031,104729.57,99.409,104729.57,99.409,521,100.0,105352.0,100.0,105352.0,100.0
MSFT,1:1,2000,1002,1003,1650809,1650809,1002,99.9,1650809.0,100.0,1650809.0,100.0,1002,99.9,1650809.0,100.0,1650809.0,100.0,1002,100.0,1650809.0,100.0,1650809.0,100.0,1002,99.9,1650466.05,99.979,1650466.05,99.979
MSFT,1:1,5000,2509,2510,63593106,63593106,2509,99.96,63593106.0,100.0,63593106.0,100.0,2509,99.96,63593106.0,100.0,63593106.0,100.0,2508,99.96,63572130.48,99.967,63572130.48,99.967,2509,99.96,63588737.26,99.993,63588737.26,99.993
MSFT,1:1,10000,5046,5046,221694541,221694541,5046,100.0,221694541.0,100.0,221694541.0,100.0,5045,99.98,221694531.0,100.0,221644081.0,99.977,5044,99.96,221655387.53,99.982,221655387.53,99.982,5046,100.0,221694541.0,100.0,221694541.0,100.0
MSFT,1:1,17386,8816,8818,375417980,375417980,8817,99.988,375417980.0,100.0,375417980.0,100.0,8817,99.988,375417980.0,100.0,375417980.0,100.0,8812,99.954,375352340.21,99.983,375352340.21,99.983,8817,99.988,375401573.78,99.996,375401573.78,99.996
NFLX,1:1,2,2,2,97,97,1,50.0,86.0,88.66,75.0,77.32,1,50.0,86.0,88.66,75.0,77.32,1,50.0,57.0,58.763,57.0,58.763,1,50.0,57.0,58.763,57.0,58.763
NFLX,1:1,3,3,3,116,116,2,66.666,105.0,90.517,83.0,71.552,2,66.666,105.0,90.517,83.0,71.552,2,66.666,85.33,73.563,85.33,73.563,2,66.666,85.33,73.563,85.33,73.563
NFLX,1:1,4,3,3,166,166,2,66.666,154.0,92.771,130.0,78.313,2,66.666,154.0,92.771,130.0,78.313,3,100.0,166.0,100.0,166.0,100.0,3,100.0,166.0,100.0,166.0,100.0
NFLX,1:1,5,3,3,272,272,3,100.0,272.0,100.0,272.0,100.0,2,66.666,211.0,77.574,89.0,32.721,3,100.0,272.0,100.0,272.0,100.0,3,100.0,272.0,100.0,272.0,100.0
NFLX,1:1,10,6,6,594,594,6,100.0,594.0,100.0,594.0,100.0,5,83.333,585.0,98.485,540.0,90.909,6,100.0,594.0,100.0,594.0,100.0,6,100.0,594.0,100.0,594.0,100.0
NFLX,1:1,15,10,10,768,768,9,90.0,765.0,99.609,738.0,96.094,9,90.0,765.0,99.609,738.0,96.094,9,90.0,726.4,94.583,726.4,94.583,10,100.0,768.0,100.0,768.0,100.0
NFLX,1:1,25,13,14,2289,2289,13,92.857,2289.0,100.0,2289.0,100.0,13,92.857,2289.0,100.0,2289.0,100.0,13,100.0,2289.0,100.0,2289.0,100.0,13,92.857,2196.64,95.965,2196.64,95.965
NFLX,1:1,50,28,28,5159,5159,27,96.428,5154.0,99.903,5019.0,97.286,27,96.428,5154.0,99.903,5019.0,97.286,26,92.857,5028.86,97.477,5028.86,97.477,28,100.0,5159.0,100.0,5159.0,100.0
NFLX,1:1,100,53,54,17404,17404,53,98.148,17404.0,100.0,17404.0,100.0,53,98.148,17404.0,100.0,17404.0,100.0,53,100.0,17404.0,100.0,17404.0,100.0,53,98.148,17232.94,99.017,17232.94,99.017
NFLX,1:1,500,256,256,619558,619558,255,99.609,619554.0,99.999,618534.0,99.835,255,99.609,619554.0,99.999,618534.0,99.835,255,99.609,617767.5,99.711,617767.5,99.711,256,100.0,619558.0,100.0,619558.0,100.0
NFLX,1:1,1000,504,505,1210435,1210435,504,99.801,1210435.0,100.0,1210435.0,100.0,504,99.801,1210435.0,100.0,1210435.0,100.0,504,100.0,1210435.0,100.0,1210435.0,100.0,505,100.0,1210435.0,100.0,1210435.0,100.0
NFLX,1:1,2000,1017,1017,3142263,3142263,1017,100.0,3142263.0,100.0,3142263.0,100.0,1016,99.901,3142261.0,100.0,3140229.0,99.935,1016,99.901,3140954.84,99.958,3140954.84,99.958,1017,100.0,3142263.0,100.0,3142263.0,100.0
NFLX,1:1,5000,2506,2506,358296302,358296302,2506,100.0,358296302.0,100.0,358296302.0,100.0,2505,99.96,358296266.0,100.0,358206086.0,99.975,2506,100.0,358296302.0,100.0,358296302.0,100.0,2506,100.0,358296302.0,100.0,358296302.0,100.0
NFLX,1:1,9210,4625,4625,702127261,702127261,4625,100.0,702127261.0,100.0,702127261.0,100.0,4624,99.978,702127243.0,100.0,702044011.0,99.988,4625,100.0,702127261.0,100.0,702127261.0,100.0,4625,100.0,702127261.0,100.0,702127261.0,100.0
O,1:1,2,1,2,750,750,1,50.0,750.0,100.0,750.0,100.0,1,50.0,750.0,100.0,750.0,100.0,1,100.0,750.0,100.0,750.0,100.0,1,50.0,719.0,95.867,719.0,95.867
O,1:1,3,2,2,1750,1750,2,100.0,1750.0,100.0,1750.0,100.0,1,50.0,1062.0,60.686,374.0,21.371,1,50.0,1031.0,58.914,1031.0,58.914,1,50.0,1031.0,58.914,1031.0,58.914
O,1:1,4,2,3,1812,1812,2,66.666,1812.0,100.0,1812.0,100.0,2,66.666,1812.0,100.0,1812.0,100.0,2,100.0,1812.0,100.0,1812.0,100.0,2,66.666,1332.67,73.547,1332.67,73.547
O,1:1,5,3,4,1999,1999,3,75.0,1999.0,100.0,1999.0,100.0,3,75.0,1999.0,100.0,1999.0,100.0,3,100.0,1999.0,100.0,1999.0,100.0,3,75.0,1608.25,80.453,1608.25,80.453
O,1:1,10,7,7,3062,3062,6,85.714,2937.0,95.918,2187.0,71.424,6,85.714,2937.0,95.918,2187.0,71.424,5,71.428,2544.57,83.102,2544.57,83.102,6,85.714,2803.29,91.551,2803.29,91.551
O,1:1,15,9,9,4187,4187,9,100.0,4187.0,100.0,4187.0,100.0,8,88.888,4125.0,98.519,3629.0,86.673,8,88.888,3965.0,94.698,3965.0,94.698,9,100.0,4187.0,100.0,4187.0,100.0
O,1:1,25,13,14,9187,9187,13,92.857,9187.0,100.0,9187.0,100.0,13,92.857,9187.0,100.0,9187.0,100.0,13,100.0,9187.0,100.0,9187.0,100.0,13,92.857,8892.64,96.796,8892.64,96.796
O,1:1,50,28,30,15811,15811,29,96.666,15811.0,100.0,15811.0,100.0,29,96.666,15811.0,100.0,15811.0,100.0,26,92.857,15396.36,97.378,15396.36,97.378,29,96.666,15617.5,98.776,15617.5,98.776
O,1:1,100,55,55,51375,51375,55,100.0,51375.0,100.0,51375.0,100.0,54,98.181,51312.0,99.877,47910.0,93.255,52,94.545,50095.85,97.51,50095.85,97.51,55,100.0,51375.0,100.0,51375.0,100.0
O,1:1,500,257,262,399987,399987,261,99.618,399987.0,100.0,399987.0,100.0,261,99.618,399987.0,100.0,399987.0,100.0,250,97.276,392733.58,98.187,392733.58,98.187,262,100.0,399987.0,100.0,399987.0,100.0
O,1:1,1000,503,513,1427860,1427860,512,99.805,1427860.0,100.0,1427860.0,100.0,512,99.805,1427860.0,100.0,1427860.0,100.0,502,99.801,1426454.07,99.902,1426454.07,99.902,512,99.805,1426455.17,99.902,1426455.17,99.902
O,1:1,2000,1018,1043,3181253,3181253,1042,99.904,3181253.0,100.0,3181253.0,100.0,1042,99.904,3181253.0,100.0,3181253.0,100.0,1007,98.919,3161384.11,99.375,3161384.11,99.375,1042,99.904,3179965.87,99.96,3179965.87,99.96
O,1:1,5000,2516,2516,43852383,43852383,2515,99.96,43852362.0,100.0,43799547.0,99.88,2515,99.96,43852362.0,100.0,43799547.0,99.88,2515,99.96,43845038.46,99.983,43845038.46,99.983,2515,99.96,43845038.46,99.983,43845038.46,99.983
O,1:1,10000,5026,5027,124484870,124484870,5026,99.98,124484870.0,100.0,124484870.0,100.0,5026,99.98,124484870.0,100.0,124484870.0,100.0,5026,100.0,124484870.0,100.0,124484870.0,100.0,5026,99.98,124476989.02,99.994,124476989.02,99.994
O,1:1,13036,6575,6576,196693516,196693516,6575,99.984,196693516.0,100.0,196693516.0,100.0,6575,99.984,196693516.0,100.0,196693516.0,100.0,6567,99.878,196621936.54,99.964,196621936.54,99.964,6576,100.0,196693516.0,100.0,196693516.0,100.0
OSTK,1:1,2,1,1,950,950,1,100.0,950.0,100.0,950.0,100.0,0,0.0,0,0.0,0,0.0,1,100.0,950.0,100.0,950.0,100.0,1,100.0,950.0,100.0,950.0,100.0
OSTK,1:1,3,2,2,1270,1270,1,50.0,1000.0,78.74,730.0,57.48,1,50.0,1000.0,78.74,730.0,57.48,1,50.0,975.0,76.772,975.0,76.772,1,50.0,975.0,76.772,975.0,76.772
OSTK,1:1,4,3,3,1390,1390,2,66.666,1290.0,92.806,1090.0,78.417,2,66.666,1290.0,92.806,1090.0,78.417,2,66.666,1266.67,91.127,1266.67,91.127,2,66.666,1266.67,91.127,1266.67,91.127
OSTK,1:1,5,3,3,1750,1750,3,100.0,1750.0,100.0,1750.0,100.0,2,66.666,1630.0,93.143,1390.0,79.429,3,100.0,1750.0,100.0,1750.0,100.0,3,100.0,1750.0,100.0,1750.0,100.0
OSTK,1:1,10,6,6,5570,5570,5,83.333,5530.0,99.282,5330.0,95.691,5,83.333,5530.0,99.282,5330.0,95.691,6,100.0,5570.0,100.0,5570.0,100.0,6,100.0,5570.0,100.0,5570.0,100.0
OSTK,1:1,15,9,9,12360,12360,8,88.888,12090.0,97.816,9930.0,80.34,8,88.888,12090.0,97.816,9930.0,80.34,8,88.888,11765.56,95.191,11765.56,95.191,8,88.888,11765.56,95.191,11765.56,95.191
OSTK,1:1,25,14,14,18380,18380,14,100.0,18380.0,100.0,18380.0,100.0,13,92.857,17940.0,97.606,12220.0,66.485,14,100.0,18380.0,100.0,18380.0,100.0,14,100.0,18380.0,100.0,18380.0,100.0
OSTK,1:1,50,27,27,90041,90041,27,100.0,90041.0,100.0,90041.0,100.0,26,96.296,89961.0,99.911,87881.0,97.601,25,92.592,84937.96,94.333,84937.96,94.333,27,100.0,90041.0,100.0,90041.0,100.0
OSTK,1:1,100,51,51,308670,308670,51,100.0,308670.0,100.0,308670.0,100.0,50,98.039,308620.0,99.984,306120.0,99.174,50,98.039,307401.96,99.589,307401.96,99.589,51,100.0,308670.0,100.0,308670.0,100.0
OSTK,1:1,500,264,265,2695116,2695116,264,99.622,2695116.0,100.0,2695116.0,100.0,264,99.622,2695116.0,100.0,2695116.0,100.0,262,99.242,2681582.18,99.498,2681582.18,99.498,264,99.622,2691687.12,99.873,2691687.12,99.873
OSTK,1:1,1000,508,508,13787711,13787711,508,100.0,13787711.0,100.0,13787711.0,100.0,507,99.803,13787621.0,99.999,13741991.0,99.668,507,99.803,13774790.62,99.906,13774790.62,99.906,507,99.803,13774790.62,99.906,13774790.62,99.906
OSTK,1:1,2000,1026,1028,19618819,19618819,1027,99.902,19618819.0,100.0,19618819.0,100.0,1027,99.902,19618819.0,100.0,19618819.0,100.0,1026,100.0,19618819.0,100.0,19618819.0,100.0,1028,100.0,19618819.0,100.0,19618819.0,100.0
OSTK,1:1,5000,2557,2558,43702351,43702351,2557,99.96,43702351.0,100.0,43702351.0,100.0,2557,99.96,43702351.0,100.0,43702351.0,100.0,2557,100.0,43702351.0,100.0,43702351.0,100.0,2557,99.96,43697878.45,99.99,43697878.45,99.99
OSTK,1:1,9202,4696,4703,81892917,81892917,4702,99.978,81892917.0,100.0,81892917.0,100.0,4702,99.978,81892917.0,100.0,81892917.0,100.0,4685,99.765,81752227.7,99.828,81752227.7,99.828,4702,99.978,81888274.99,99.994,81888274.99,99.994
PLUG,1:1,2,1,2,39375,39375,1,50.0,39375.0,100.0,39375.0,100.0,1,50.0,39375.0,100.0,39375.0,100.0,1,100.0,39375.0,100.0,39375.0,100.0,1,50.0,34375.0,87.302,34375.0,87.302
PLUG,1:1,3,2,3,75000,75000,2,66.666,75000.0,100.0,75000.0,100.0,2,66.666,75000.0,100.0,75000.0,100.0,2,100.0,75000.0,100.0,75000.0,100.0,2,66.666,70625.0,94.167,70625.0,94.167
PLUG,1:1,4,3,3,100625,100625,3,100.0,100625.0,100.0,100625.0,100.0,2,66.666,75000.0,74.534,23750.0,23.602,3,100.0,100625.0,100.0,100625.0,100.0,3,100.0,100625.0,100.0,100625.0,100.0
PLUG,1:1,5,4,4,110625,110625,3,75.0,106250.0,96.045,93125.0,84.181,3,75.0,106250.0,96.045,93125.0,84.181,3,75.0,87031.25,78.672,87031.25,78.672,3,75.0,87031.25,78.672,87031.25,78.672
PLUG,1:1,10,7,7,135313,135313,6,85.714,133750.0,98.845,124372.0,91.914,6,85.714,133750.0,98.845,124372.0,91.914,6,85.714,123750.43,91.455,123750.43,91.455,6,85.714,123750.43,91.455,123750.43,91.455
PLUG,1:1,15,10,10,176250,176250,9,90.0,175625.0,99.645,170000.0,96.454,9,90.0,175625.0,99.645,170000.0,96.454,9,90.0,168750.0,95.745,168750.0,95.745,10,100.0,176250.0,100.0,176250.0,100.0
PLUG,1:1,25,15,15,383750,383750,14,93.333,383125.0,99.837,374375.0,97.557,14,93.333,383125.0,99.837,374375.0,97.557,14,93.333,371250.0,96.743,371250.0,96.743,15,100.0,383750.0,100.0,383750.0,100.0
PLUG,1:1,50,26,26,4073751,4073751,25,96.153,4067501.0,99.847,3911251.0,96.011,25,96.153,4067501.0,99.847,3911251.0,96.011,25,96.153,4010121.15,98.438,4010121.15,98.438,25,96.153,4010121.15,98.438,4010121.15,98.438
PLUG,1:1,100,52,52,46858126,46858126,51,98.076,46854376.0,99.992,46663126.0,99.584,51,98.076,46854376.0,99.992,46663126.0,99.584,51,98.076,46525229.35,99.29,46525229.35,99.29,51,98.076,46525229.35,99.29,46525229.35,99.29
PLUG,1:1,500,256,256,120206872,120206872,255,99.609,120203847.0,99.997,119432472.0,99.356,255,99.609,120203847.0,99.997,119432472.0,99.356,256,100.0,120206872.0,100.0,120206872.0,100.0,256,100.0,120206872.0,100.0,120206872.0,100.0
PLUG,1:1,1000,514,515,170067711,170067711,514,99.805,170067711.0,100.0,170067711.0,100.0,514,99.805,170067711.0,100.0,170067711.0,100.0,514,100.0,170067711.0,100.0,170067711.0,100.0,514,99.805,170029917.82,99.978,170029917.82,99.978
PLUG,1:1,2000,1022,1024,195089336,195089336,1023,99.902,195089336.0,100.0,195089336.0,100.0,1023,99.902,195089336.0,100.0,195089336.0,100.0,1019,99.706,195044321.82,99.977,195044321.82,99.977,1024,100.0,195089336.0,100.0,195089336.0,100.0
PLUG,1:1,5000,2512,2524,295936857,295936857,2523,99.96,295936857.0,100.0,295936857.0,100.0,2523,99.96,295936857.0,100.0,295936857.0,100.0,2511,99.96,295824341.65,99.962,295824341.65,99.962,2523,99.96,295931588.26,99.998,295931588.26,99.998
PLUG,1:1,10000,5030,5041,577059011,577059011,5040,99.98,577059011.0,100.0,577059011.0,100.0,5040,99.98,577059011.0,100.0,577059011.0,100.0,5015,99.701,575416267.39,99.715,575416267.39,99.715,5040,99.98,577053815.14,99.999,577053815.14,99.999
PLUG,1:1,10494,5275,5286,579380044,579380044,5285,99.981,579380044.0,100.0,579380044.0,100.0,5285,99.981,579380044.0,100.0,579380044.0,100.0,5267,99.848,579342480.44,99.994,579342480.44,99.994,5286,100.0,579380044.0,100.0,579380044.0,100.0
QCOM,1:1,2,2,2,78,78,1,50.0,62.0,79.487,46.0,58.974,1,50.0,62.0,79.487,46.0,58.974,1,50.0,46.5,59.615,46.5,59.615,1,50.0,46.5,59.615,46.5,59.615
QCOM,1:1,3,2,3,78,78,2,66.666,78.0,100.0,78.0,100.0,2,66.666,78.0,100.0,78.0,100.0,1,50.0,46.5,59.615,46.5,59.615,2,66.666,57.0,73.077,57.0,73.077
QCOM,1:1,4,3,3,102,102,3,100.0,102.0,100.0,102.0,100.0,2,66.666,86.0,84.314,54.0,52.941,1,33.333,44.0,43.137,44.0,43.137,3,100.0,102.0,100.0,102.0,100.0
QCOM,1:1,5,3,4,102,102,3,75.0,102.0,100.0,102.0,100.0,3,75.0,102.0,100.0,102.0,100.0,3,100.0,102.0,100.0,102.0,100.0,3,75.0,86.25,84.559,86.25,84.559
QCOM,1:1,10,6,7,419,419,6,85.714,419.0,100.0,419.0,100.0,6,85.714,419.0,100.0,419.0,100.0,5,83.333,367.0,87.589,367.0,87.589,6,85.714,403.71,96.352,403.71,96.352
QCOM,1:1,15,9,9,1645,1645,8,88.888,1637.0,99.514,1573.0,95.623,8,88.888,1637.0,99.514,1573.0,95.623,8,88.888,1612.67,98.034,1612.67,98.034,8,88.888,1612.67,98.034,1612.67,98.034
QCOM,1:1,25,14,14,3034,3034,13,92.857,3026.0,99.736,2922.0,96.309,13,92.857,3026.0,99.736,2922.0,96.309,13,92.857,2873.5,94.71,2873.5,94.71,14,100.0,3034.0,100.0,3034.0,100.0
QCOM,1:1,50,28,28,4144,4144,28,100.0,4144.0,100.0,4144.0,100.0,27,96.428,4136.0,99.807,3920.0,94.595,27,96.428,4050.39,97.741,4050.39,97.741,28,100.0,4144.0,100.0,4144.0,100.0
QCOM,1:1,100,53,55,7126,7126,54,98.181,7126.0,100.0,7126.0,100.0,54,98.181,7126.0,100.0,7126.0,100.0,51,96.226,6977.51,97.916,6977.51,97.916,54,98.181,7067.98,99.186,7067.98,99.186
QCOM,1:1,500,255,255,269854,269854,255,100.0,269854.0,100.0,269854.0,100.0,254,99.607,269846.0,99.997,267814.0,99.244,248,97.254,268443.43,99.477,268443.43,99.477,255,100.0,269854.0,100.0,269854.0,100.0
QCOM,1:1,1000,506,510,591190,591190,509,99.803,591190.0,100.0,591190.0,100.0,509,99.803,591190.0,100.0,591190.0,100.0,503,99.407,589468.85,99.709,589468.85,99.709,509,99.803,590620.78,99.904,590620.78,99.904
QCOM,1:1,2000,1027,1031,4401021,4401021,1030,99.903,4401021.0,100.0,4401021.0,100.0,1030,99.903,4401021.0,100.0,4401021.0,100.0,1024,99.707,4391333.31,99.78,4391333.31,99.78,1030,99.903,4399969.01,99.976,4399969.01,99.976
QCOM,1:1,5000,2514,2514,89611054,89611054,2514,100.0,89611054.0,100.0,89611054.0,100.0,2513,99.96,89611013.0,100.0,89507980.0,99.885,2513,99.96,89592445.27,99.979,89592445.27,99.979,2513,99.96,89592445.27,99.979,89592445.27,99.979
QCOM,1:1,10000,5035,5037,234217463,234217463,5036,99.98,234217463.0,100.0,234217463.0,100.0,5036,99.98,234217463.0,100.0,234217463.0,100.0,5033,99.96,234172580.28,99.981,234172580.28,99.981,5037,100.0,234217463.0,100.0,234217463.0,100.0
QCOM,1:1,14474,7319,7319,320250372,320250372,7319,100.0,320250372.0,100.0,320250372.0,100.0,7318,99.986,320250362.0,100.0,320177182.0,99.977,7313,99.918,320104248.03,99.954,320104248.03,99.954,7319,100.0,320250372.0,100.0,320250372.0,100.0
R,1:1,2,1,1,250,250,1,100.0,250.0,100.0,250.0,100.0,0,0.0,0,0.0,0,0.0,1,100.0,250.0,100.0,250.0,100.0,1,100.0,250.0,100.0,250.0,100.0
R,1:1,3,1,2,334,334,1,50.0,334.0,100.0,334.0,100.0,1,50.0,334.0,100.0,334.0,100.0,1,100.0,334.0,100.0,334.0,100.0,1,50.0,292.0,87.425,292.0,87.425
R,1:1,4,2,3,543,543,2,66.666,543.0,100.0,543.0,100.0,2,66.666,543.0,100.0,543.0,100.0,1,50.0,396.5,73.02,396.5,73.02,2,66.666,445.33,82.014,445.33,82.014
R,1:1,5,3,3,752,752,2,66.666,668.0,88.83,500.0,66.489,2,66.666,668.0,88.83,500.0,66.489,1,33.333,417.33,55.496,417.33,55.496,3,100.0,752.0,100.0,752.0,100.0
R,1:1,10,6,6,2833,2833,5,83.333,2792.0,98.553,2587.0,91.317,5,83.333,2792.0,98.553,2587.0,91.317,5,83.333,2680.5,94.617,2680.5,94.617,5,83.333,2680.5,94.617,2680.5,94.617
R,1:1,15,8,8,5249,5249,8,100.0,5249.0,100.0,5249.0,100.0,7,87.5,4916.0,93.656,2585.0,49.247,8,100.0,5249.0,100.0,5249.0,100.0,8,100.0,5249.0,100.0,5249.0,100.0
R,1:1,25,13,14,8125,8125,13,92.857,8125.0,100.0,8125.0,100.0,13,92.857,8125.0,100.0,8125.0,100.0,12,92.307,7717.85,94.989,7717.85,94.989,13,92.857,7746.93,95.347,7746.93,95.347
R,1:1,50,25,26,27164,27164,25,96.153,27164.0,100.0,27164.0,100.0,25,96.153,27164.0,100.0,27164.0,100.0,25,100.0,27164.0,100.0,27164.0,100.0,25,96.153,26593.19,97.899,26593.19,97.899
R,1:1,100,51,52,94953,94953,51,98.076,94953.0,100.0,94953.0,100.0,51,98.076,94953.0,100.0,94953.0,100.0,49,96.078,92612.61,97.535,92612.61,97.535,51,98.076,94274.67,99.286,94274.67,99.286
R,1:1,500,254,260,847635,847635,259,99.615,847635.0,100.0,847635.0,100.0,259,99.615,847635.0,100.0,847635.0,100.0,248,97.637,837274.51,98.778,837274.51,98.778,259,99.615,846061.77,99.814,846061.77,99.814
R,1:1,1000,503,505,3301995,3301995,504,99.801,3301995.0,100.0,3301995.0,100.0,504,99.801,3301995.0,100.0,3301995.0,100.0,503,100.0,3301995.0,100.0,3301995.0,100.0,504,99.801,3299877.34,99.936,3299877.34,99.936
R,1:1,2000,1006,1010,14092076,14092076,1009,99.9,14092076.0,100.0,14092076.0,100.0,1009,99.9,14092076.0,100.0,14092076.0,100.0,999,99.304,14054676.04,99.735,14054676.04,99.735,1010,100.0,14092076.0,100.0,14092076.0,100.0
R,1:1,5000,2545,2545,32437028,32437028,2544,99.96,32437007.0,100.0,32383583.0,99.835,2544,99.96,32437007.0,100.0,32383583.0,99.835,2543,99.921,32426691.99,99.968,32426691.99,99.968,2545,100.0,32437028.0,100.0,32437028.0,100.0
R,1:1,10000,5047,5052,160296013,160296013,5051,99.98,160296013.0,100.0,160296013.0,100.0,5051,99.98,160296013.0,100.0,160296013.0,100.0,5032,99.702,159944350.85,99.781,159944350.85,99.781,5051,99.98,160287704.72,99.995,160287704.72,99.995
R,1:1,20000,10102,10103,314814128,314814128,10102,99.99,314814128.0,100.0,314814128.0,100.0,10102,99.99,314814128.0,100.0,314814128.0,100.0,10102,100.0,314814128.0,100.0,314814128.0,100.0,10102,99.99,314805813.85,99.997,314805813.85,99.997
R,1:1,20518,10368,10368,326543985,326543985,10368,100.0,326543985.0,100.0,326543985.0,100.0,10367,99.99,326543965.0,100.0,326336625.0,99.936,10365,99.971,326518826.52,99.992,326518826.52,99.992,10368,100.0,326543985.0,100.0,326543985.0,100.0
SHLO,1:1,2,1,2,750,750,1,50.0,750.0,100.0,750.0,100.0,1,50.0,750.0,100.0,750.0,100.0,0,0.0,0.0,0.0,0.0,0.0,1,50.0,375.0,50.0,375.0,50.0
SHLO,1:1,3,1,3,875,875,2,66.666,875.0,100.0,875.0,100.0,2,66.666,875.0,100.0,875.0,100.0,1,100.0,875.0,100.0,875.0,100.0,2,66.666,625.0,71.429,625.0,71.429
SHLO,1:1,4,2,4,1125,1125,3,75.0,1125.0,100.0,1125.0,100.0,3,75.0,1125.0,100.0,1125.0,100.0,1,50.0,625.0,55.556,625.0,55.556,3,75.0,875.0,77.778,875.0,77.778
