,recipe,n,k,k+0,OPT_GFT,OPT_GFT+0,McAfee_k',%k',total_gft,%total_gft,market_gft,market_%gft,McAfee_Without_Heuristic_k',%k',total_gft,%total_gft,market_gft,market_%gft,SBB_External_Competition_k',%k',gft,%gft,market_gft,market_%gft,SBB_Ascending_Prices_k,%k',gft,%gft,market_gft,market_%gft
SHLO,1:1,5,3,4,1375,1375,3,75.0,1375.0,100.0,1375.0,100.0,3,75.0,1375.0,100.0,1375.0,100.0,1,33.333,541.67,39.394,541.67,39.394,4,100.0,1375.0,100.0,1375.0,100.0
SHLO,1:1,10,6,7,3125,3125,6,85.714,3125.0,100.0,3125.0,100.0,6,85.714,3125.0,100.0,3125.0,100.0,4,66.666,2458.33,78.667,2458.33,78.667,7,100.0,3125.0,100.0,3125.0,100.0
SHLO,1:1,15,10,11,4500,4500,11,100.0,4500.0,100.0,4500.0,100.0,10,90.909,4500.0,100.0,4500.0,100.0,8,80.0,4025.0,89.444,4025.0,89.444,10,90.909,4284.09,95.202,4284.09,95.202
SHLO,1:1,25,12,19,6125,6125,18,94.736,6125.0,100.0,6125.0,100.0,18,94.736,6125.0,100.0,6125.0,100.0,11,91.666,5812.5,94.898,5812.5,94.898,18,94.736,6000.0,97.959,6000.0,97.959
SHLO,1:1,50,27,31,27000,27000,30,96.774,27000.0,100.0,27000.0,100.0,30,96.774,27000.0,100.0,27000.0,100.0,20,74.074,21199.07,78.515,21199.07,78.515,30,96.774,26850.81,99.447,26850.81,99.447
SHLO,1:1,100,52,54,87625,87625,53,98.148,87625.0,100.0,87625.0,100.0,53,98.148,87625.0,100.0,87625.0,100.0,46,88.461,80038.46,91.342,80038.46,91.342,53,98.148,87219.91,99.538,87219.91,99.538
SHLO,1:1,500,258,261,894377,894377,260,99.616,894377.0,100.0,894377.0,100.0,260,99.616,894377.0,100.0,894377.0,100.0,240,93.023,852669.26,95.337,852669.26,95.337,260,99.616,893240.73,99.873,893240.73,99.873
SHLO,1:1,1000,504,512,2968812,2968812,511,99.804,2968812.0,100.0,2968812.0,100.0,511,99.804,2968812.0,100.0,2968812.0,100.0,502,99.603,2963436.98,99.819,2963436.98,99.819,512,100.0,2968812.0,100.0,2968812.0,100.0
SHLO,1:1,2000,1005,1034,7753918,7753918,1033,99.903,7753918.0,100.0,7753918.0,100.0,1033,99.903,7753918.0,100.0,7753918.0,100.0,995,99.004,7720434.33,99.568,7720434.33,99.568,1034,100.0,7753918.0,100.0,7753918.0,100.0
SHLO,1:1,5000,2545,2561,20054838,20054838,2560,99.96,20054838.0,100.0,20054838.0,100.0,2560,99.96,20054838.0,100.0,20054838.0,100.0,2532,99.489,20004338.79,99.748,20004338.79,99.748,2560,99.96,20050867.42,99.98,20050867.42,99.98
SHLO,1:1,10000,5048,5091,42392397,42392397,5090,99.98,42392397.0,100.0,42392397.0,100.0,5090,99.98,42392397.0,100.0,42392397.0,100.0,5029,99.623,42311947.51,99.81,42311947.51,99.81,5091,100.0,42392397.0,100.0,42392397.0,100.0
SHLO,1:1,13696,6973,6981,55759505,55759505,6980,99.985,55759505.0,100.0,55759505.0,100.0,6980,99.985,55759505.0,100.0,55759505.0,100.0,6967,99.913,55735791.66,99.957,55735791.66,99.957,6981,100.0,55759505.0,100.0,55759505.0,100.0
SIRI,1:1,2,2,2,625,625,1,50.0,375.0,60.0,125.0,20.0,1,50.0,375.0,60.0,125.0,20.0,1,50.0,375.0,60.0,375.0,60.0,1,50.0,375.0,60.0,375.0,60.0
SIRI,1:1,3,3,3,671,671,2,66.666,625.0,93.145,533.0,79.434,2,66.666,625.0,93.145,533.0,79.434,2,66.666,625.0,93.145,625.0,93.145,2,66.666,625.0,93.145,625.0,93.145
SIRI,1:1,4,4,4,1046,1046,3,75.0,1000.0,95.602,862.0,82.409,3,75.0,1000.0,95.602,862.0,82.409,3,75.0,968.75,92.615,968.75,92.615,3,75.0,968.75,92.615,968.75,92.615
SIRI,1:1,5,4,4,1375,1375,4,100.0,1375.0,100.0,1375.0,100.0,3,75.0,1125.0,81.818,375.0,27.273,2,50.0,812.5,59.091,812.5,59.091,3,75.0,1093.75,79.545,1093.75,79.545
SIRI,1:1,10,6,6,2217,2217,5,83.333,2171.0,97.925,1941.0,87.551,5,83.333,2171.0,97.925,1941.0,87.551,5,83.333,1993.33,89.911,1993.33,89.911,6,100.0,2217.0,100.0,2217.0,100.0
SIRI,1:1,15,6,9,4092,4092,8,88.888,4092.0,100.0,4092.0,100.0,8,88.888,4092.0,100.0,4092.0,100.0,6,100.0,4092.0,100.0,4092.0,100.0,9,100.0,4092.0,100.0,4092.0,100.0
SIRI,1:1,25,12,14,8763,8763,13,92.857,8763.0,100.0,8763.0,100.0,13,92.857,8763.0,100.0,8763.0,100.0,11,91.666,8408.83,95.958,8408.83,95.958,14,100.0,8763.0,100.0,8763.0,100.0
SIRI,1:1,50,22,30,14138,14138,29,96.666,14138.0,100.0,14138.0,100.0,29,96.666,14138.0,100.0,14138.0,100.0,20,90.909,13273.18,93.883,13273.18,93.883,29,96.666,13983.83,98.91,13983.83,98.91
SIRI,1:1,100,51,55,74516,74516,54,98.181,74516.0,100.0,74516.0,100.0,54,98.181,74516.0,100.0,74516.0,100.0,44,86.274,70748.49,94.944,70748.49,94.944,54,98.181,73660.24,98.852,73660.24,98.852
SIRI,1:1,500,259,265,940166,940166,264,99.622,940166.0,100.0,940166.0,100.0,264,99.622,940166.0,100.0,940166.0,100.0,245,94.594,930438.22,98.965,930438.22,98.965,265,100.0,940166.0,100.0,940166.0,100.0
SIRI,1:1,1000,510,512,7129898,7129898,511,99.804,7129898.0,100.0,7129898.0,100.0,511,99.804,7129898.0,100.0,7129898.0,100.0,505,99.019,7113598.36,99.771,7113598.36,99.771,512,100.0,7129898.0,100.0,7129898.0,100.0
SIRI,1:1,2000,1009,1009,25151222,25151222,1008,99.9,25151164.0,100.0,25092700.0,99.767,1008,99.9,25151164.0,100.0,25092700.0,99.767,1008,99.9,25143189.43,99.968,25143189.43,99.968,1008,99.9,25143189.43,99.968,25143189.43,99.968
SIRI,1:1,5000,2535,2538,34792971,34792971,2537,99.96,34792971.0,100.0,34792971.0,100.0,2537,99.96,34792971.0,100.0,34792971.0,100.0,2525,99.605,34671361.11,99.65,34671361.11,99.65,2537,99.96,34791408.8,99.996,34791408.8,99.996
SIRI,1:1,10000,5069,5075,67348912,67348912,5074,99.98,67348912.0,100.0,67348912.0,100.0,5074,99.98,67348912.0,100.0,67348912.0,100.0,5056,99.743,67195732.17,99.773,67195732.17,99.773,5074,99.98,67347410.41,99.998,67347410.41,99.998
SIRI,1:1,13086,6645,6652,72678206,72678206,6651,99.984,72678206.0,100.0,72678206.0,100.0,6651,99.984,72678206.0,100.0,72678206.0,100.0,6615,99.548,72632810.87,99.938,72632810.87,99.938,6652,100.0,72678206.0,100.0,72678206.0,100.0
T,1:1,2,1,2,94,94,1,50.0,94.0,100.0,94.0,100.0,1,50.0,94.0,100.0,94.0,100.0,1,100.0,94.0,100.0,94.0,100.0,1,50.0,68.0,72.34,68.0,72.34
T,1:1,3,2,2,136,136,2,100.0,136.0,100.0,136.0,100.0,1,50.0,94.0,69.118,52.0,38.235,1,50.0,89.0,65.441,89.0,65.441,2,100.0,136.0,100.0,136.0,100.0
T,1:1,4,3,3,168,168,2,66.666,157.0,93.452,135.0,80.357,2,66.666,157.0,93.452,135.0,80.357,2,66.666,146.67,87.302,146.67,87.302,2,66.666,146.67,87.302,146.67,87.302
T,1:1,5,4,4,189,189,3,75.0,178.0,94.18,145.0,76.72,3,75.0,178.0,94.18,145.0,76.72,2,50.0,146.5,77.513,146.5,77.513,3,75.0,167.75,88.757,167.75,88.757
T,1:1,10,5,5,804,804,5,100.0,804.0,100.0,804.0,100.0,4,80.0,731.0,90.92,439.0,54.602,5,100.0,804.0,100.0,804.0,100.0,5,100.0,804.0,100.0,804.0,100.0
T,1:1,15,8,9,1302,1302,8,88.888,1302.0,100.0,1302.0,100.0,8,88.888,1302.0,100.0,1302.0,100.0,7,87.5,1243.75,95.526,1243.75,95.526,8,88.888,1250.22,96.023,1250.22,96.023
T,1:1,25,14,16,1803,1803,15,93.75,1803.0,100.0,1803.0,100.0,15,93.75,1803.0,100.0,1803.0,100.0,12,85.714,1730.86,95.999,1730.86,95.999,15,93.75,1771.44,98.249,1771.44,98.249
T,1:1,50,27,27,9867,9867,26,96.296,9857.0,99.899,9597.0,97.264,26,96.296,9857.0,99.899,9597.0,97.264,25,92.592,9541.15,96.698,9541.15,96.698,27,100.0,9867.0,100.0,9867.0,100.0
T,1:1,100,52,55,17429,17429,54,98.181,17429.0,100.0,17429.0,100.0,54,98.181,17429.0,100.0,17429.0,100.0,52,100.0,17429.0,100.0,17429.0,100.0,54,98.181,17307.89,99.305,17307.89,99.305
T,1:1,500,252,252,336709,336709,251,99.603,336699.0,99.997,334189.0,99.252,251,99.603,336699.0,99.997,334189.0,99.252,251,99.603,335856.77,99.747,335856.77,99.747,252,100.0,336709.0,100.0,336709.0,100.0
T,1:1,1000,505,505,1595980,1595980,505,100.0,1595980.0,100.0,1595980.0,100.0,504,99.801,1595970.0,99.999,1590930.0,99.684,501,99.207,1591369.93,99.711,1591369.93,99.711,505,100.0,1595980.0,100.0,1595980.0,100.0
T,1:1,2000,1020,1023,5268106,5268106,1022,99.902,5268106.0,100.0,5268106.0,100.0,1022,99.902,5268106.0,100.0,5268106.0,100.0,1016,99.607,5258609.99,99.82,5258609.99,99.82,1022,99.902,5265738.96,99.955,5265738.96,99.955
T,1:1,5000,2511,2518,57674638,57674638,2517,99.96,57674638.0,100.0,57674638.0,100.0,2517,99.96,57674638.0,100.0,57674638.0,100.0,2509,99.92,57646434.77,99.951,57646434.77,99.951,2517,99.96,57665795.47,99.985,57665795.47,99.985
T,1:1,10000,5049,5058,107004090,107004090,5057,99.98,107004090.0,100.0,107004090.0,100.0,5057,99.98,107004090.0,100.0,107004090.0,100.0,5044,99.9,106947794.3,99.947,106947794.3,99.947,5058,100.0,107004090.0,100.0,107004090.0,100.0
T,1:1,18550,9351,9353,183409982,183409982,9352,99.989,183409982.0,100.0,183409982.0,100.0,9352,99.989,183409982.0,100.0,183409982.0,100.0,9350,99.989,183400542.45,99.995,183400542.45,99.995,9353,100.0,183409982.0,100.0,183409982.0,100.0
TSLA,1:1,2,1,1,2284,2284,1,100.0,2284.0,100.0,2284.0,100.0,0,0.0,0,0.0,0,0.0,1,100.0,2284.0,100.0,2284.0,100.0,1,100.0,2284.0,100.0,2284.0,100.0
TSLA,1:1,3,2,2,2468,2468,2,100.0,2468.0,100.0,2468.0,100.0,1,50.0,2284.0,92.545,2100.0,85.089,2,100.0,2468.0,100.0,2468.0,100.0,2,100.0,2468.0,100.0,2468.0,100.0
TSLA,1:1,4,2,3,2868,2868,2,66.666,2868.0,100.0,2868.0,100.0,2,66.666,2868.0,100.0,2868.0,100.0,2,100.0,2868.0,100.0,2868.0,100.0,2,66.666,2334.67,81.404,2334.67,81.404
TSLA,1:1,5,3,3,3868,3868,3,100.0,3868.0,100.0,3868.0,100.0,2,66.666,3468.0,89.659,2668.0,68.976,2,66.666,3001.33,77.594,3001.33,77.594,3,100.0,3868.0,100.0,3868.0,100.0
TSLA,1:1,10,5,5,7796,7796,5,100.0,7796.0,100.0,7796.0,100.0,4,80.0,7386.0,94.741,5746.0,73.704,5,100.0,7796.0,100.0,7796.0,100.0,5,100.0,7796.0,100.0,7796.0,100.0
TSLA,1:1,15,9,9,9830,9830,8,88.888,9800.0,99.695,9560.0,97.253,8,88.888,9800.0,99.695,9560.0,97.253,8,88.888,9407.56,95.702,9407.56,95.702,8,88.888,9407.56,95.702,9407.56,95.702
TSLA,1:1,25,16,16,11066,11066,16,100.0,11066.0,100.0,11066.0,100.0,15,93.75,11040.0,99.765,10650.0,96.241,14,87.5,10361.5,93.634,10361.5,93.634,15,93.75,10713.75,96.817,10713.75,96.817
TSLA,1:1,50,28,28,17133,17133,28,100.0,17133.0,100.0,17133.0,100.0,27,96.428,17114.0,99.889,16601.0,96.895,27,96.428,16859.04,98.401,16859.04,98.401,27,96.428,16859.04,98.401,16859.04,98.401
TSLA,1:1,100,60,60,38889,38889,59,98.333,38887.0,99.995,38769.0,99.691,59,98.333,38887.0,99.995,38769.0,99.691,59,98.333,38473.23,98.931,38473.23,98.931,60,100.0,38889.0,100.0,38889.0,100.0
TSLA,1:1,500,269,270,409781,409781,270,100.0,409781.0,100.0,409781.0,100.0,269,99.629,409781.0,100.0,409781.0,100.0,269,100.0,409781.0,100.0,409781.0,100.0,269,99.629,408975.61,99.803,408975.61,99.803
TSLA,1:1,1000,516,516,8479838,8479838,516,100.0,8479838.0,100.0,8479838.0,100.0,515,99.806,8479832.0,100.0,8476742.0,99.963,515,99.806,8478708.17,99.987,8478708.17,99.987,516,100.0,8479838.0,100.0,8479838.0,100.0
TSLA,1:1,2000,1014,1014,39642666,39642666,1013,99.901,39642658.0,100.0,39634554.0,99.98,1013,99.901,39642658.0,100.0,39634554.0,99.98,1013,99.901,39616513.46,99.934,39616513.46,99.934,1013,99.901,39616513.46,99.934,39616513.46,99.934
TSLA,1:1,5000,2545,2545,123724812,123724812,2544,99.96,123724800.0,100.0,123694272.0,99.975,2544,99.96,123724800.0,100.0,123694272.0,99.975,2544,99.96,123700694.76,99.981,123700694.76,99.981,2545,100.0,123724812.0,100.0,123724812.0,100.0
TSLA,1:1,5132,2610,2610,146382608,146382608,2609,99.961,146382603.0,100.0,146369558.0,99.991,2609,99.961,146382603.0,100.0,146369558.0,99.991,2609,99.961,146350940.53,99.978,146350940.53,99.978,2610,100.0,146382608.0,100.0,146382608.0,100.0
WFC,1:1,2,1,2,890,890,1,50.0,890.0,100.0,890.0,100.0,1,50.0,890.0,100.0,890.0,100.0,1,100.0,890.0,100.0,890.0,100.0,1,50.0,449.0,50.449,449.0,50.449
WFC,1:1,3,2,3,903,903,2,66.666,903.0,100.0,903.0,100.0,2,66.666,903.0,100.0,903.0,100.0,1,50.0,892.5,98.837,892.5,98.837,2,66.666,609.0,67.442,609.0,67.442
WFC,1:1,4,3,3,932,932,3,100.0,932.0,100.0,932.0,100.0,2,66.666,924.0,99.142,908.0,97.425,2,66.666,630.0,67.597,630.0,67.597,2,66.666,630.0,67.597,630.0,67.597
WFC,1:1,5,3,3,937,937,3,100.0,937.0,100.0,937.0,100.0,2,66.666,924.0,98.613,898.0,95.838,1,33.333,323.0,34.472,323.0,34.472,3,100.0,937.0,100.0,937.0,100.0
WFC,1:1,10,6,7,968,968,6,85.714,968.0,100.0,968.0,100.0,6,85.714,968.0,100.0,968.0,100.0,3,50.0,496.5,51.291,496.5,51.291,7,100.0,968.0,100.0,968.0,100.0
WFC,1:1,15,9,11,983,983,10,90.909,983.0,100.0,983.0,100.0,10,90.909,983.0,100.0,983.0,100.0,4,44.444,454.11,46.196,454.11,46.196,11,100.0,983.0,100.0,983.0,100.0
WFC,1:1,25,14,15,1499,1499,14,93.333,1499.0,100.0,1499.0,100.0,14,93.333,1499.0,100.0,1499.0,100.0,10,71.428,1343.29,89.612,1343.29,89.612,14,93.333,1435.4,95.757,1435.4,95.757
WFC,1:1,50,25,26,4580,4580,25,96.153,4580.0,100.0,4580.0,100.0,25,96.153,4580.0,100.0,4580.0,100.0,25,100.0,4580.0,100.0,4580.0,100.0,25,96.153,4448.46,97.128,4448.46,97.128
WFC,1:1,100,50,52,9624,9624,51,98.076,9624.0,100.0,9624.0,100.0,51,98.076,9624.0,100.0,9624.0,100.0,49,98.0,9481.76,98.522,9481.76,98.522,51,98.076,9487.23,98.579,9487.23,98.579
WFC,1:1,500,255,261,42200,42200,260,99.616,42200.0,100.0,42200.0,100.0,260,99.616,42200.0,100.0,42200.0,100.0,253,99.215,42037.57,99.615,42037.57,99.615,260,99.616,42117.66,99.805,42117.66,99.805
WFC,1:1,1000,500,504,196820,196820,503,99.801,196820.0,100.0,196820.0,100.0,503,99.801,196820.0,100.0,196820.0,100.0,499,99.8,196625.84,99.901,196625.84,99.901,504,100.0,196820.0,100.0,196820.0,100.0
WFC,1:1,2000,1011,1035,257479,257479,1034,99.903,257479.0,100.0,257479.0,100.0,1034,99.903,257479.0,100.0,257479.0,100.0,994,98.318,255519.9,99.239,255519.9,99.239,1034,99.903,257342.8,99.947,257342.8,99.947
WFC,1:1,5000,2527,2537,2451095,2451095,2536,99.96,2451095.0,100.0,2451095.0,100.0,2536,99.96,2451095.0,100.0,2451095.0,100.0,2494,98.694,2424774.48,98.926,2424774.48,98.926,2536,99.96,2450923.31,99.993,2450923.31,99.993
WFC,1:1,10000,5008,5009,99537529,99537529,5008,99.98,99537529.0,100.0,99537529.0,100.0,5008,99.98,99537529.0,100.0,99537529.0,100.0,5003,99.9,99453527.25,99.916,99453527.25,99.916,5008,99.98,99534454.26,99.997,99534454.26,99.997
WFC,1:1,20000,10014,10020,237021746,237021746,10019,99.99,237021746.0,100.0,237021746.0,100.0,10019,99.99,237021746.0,100.0,237021746.0,100.0,10011,99.97,236959944.56,99.974,236959944.56,99.974,10019,99.99,237018679.28,99.999,237018679.28,99.999
WFC,1:1,24346,12198,12199,375287682,375287682,12198,99.991,375287682.0,100.0,375287682.0,100.0,12198,99.991,375287682.0,100.0,375287682.0,100.0,12182,99.868,374902655.22,99.897,374902655.22,99.897,12198,99.991,375280980.39,99.998,375280980.39,99.998
WMT,1:1,2,1,2,1,1,1,50.0,1.0,100.0,1.0,100.0,1,50.0,1.0,100.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,1,50.0,0.5,50.0,0.5,50.0
WMT,1:1,3,2,2,2,2,2,100.0,2.0,100.0,2.0,100.0,1,50.0,1.0,50.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,100.0,2.0,100.0,2.0,100.0
WMT,1:1,4,2,3,2,2,2,66.666,2.0,100.0,2.0,100.0,2,66.666,2.0,100.0,2.0,100.0,0,0.0,0.0,0.0,0.0,0.0,2,66.666,2.0,100.0,2.0,100.0
WMT,1:1,5,2,4,3,3,4,100.0,3.0,100.0,3.0,100.0,3,75.0,3.0,100.0,3.0,100.0,1,50.0,2.0,66.667,2.0,66.667,3,75.0,2.75,91.667,2.75,91.667
WMT,1:1,10,4,6,6,6,5,83.333,6.0,100.0,6.0,100.0,5,83.333,6.0,100.0,6.0,100.0,0,0.0,0.0,0.0,0.0,0.0,5,83.333,6.0,100.0,6.0,100.0
WMT,1:1,15,5,11,7,7,10,90.909,7.0,100.0,7.0,100.0,10,90.909,7.0,100.0,7.0,100.0,0,0.0,0.0,0.0,0.0,0.0,10,90.909,7.0,100.0,7.0,100.0
WMT,1:1,25,7,18,43,43,17,94.444,43.0,100.0,43.0,100.0,17,94.444,43.0,100.0,43.0,100.0,6,85.714,38.0,88.372,38.0,88.372,18,100.0,43.0,100.0,43.0,100.0
WMT,1:1,50,25,28,107,107,27,96.428,107.0,100.0,107.0,100.0,27,96.428,107.0,100.0,107.0,100.0,18,72.0,94.4,88.224,94.4,88.224,27,96.428,104.79,97.931,104.79,97.931
WMT,1:1,100,50,53,298,298,52,98.113,298.0,100.0,298.0,100.0,52,98.113,298.0,100.0,298.0,100.0,49,98.0,295.7,99.228,295.7,99.228,53,100.0,298.0,100.0,298.0,100.0
WMT,1:1,500,242,264,5232,5232,263,99.621,5232.0,100.0,5232.0,100.0,263,99.621,5232.0,100.0,5232.0,100.0,238,98.347,5199.21,99.373,5199.21,99.373,264,100.0,5232.0,100.0,5232.0,100.0
WMT,1:1,1000,494,514,11450,11450,513,99.805,11450.0,100.0,11450.0,100.0,513,99.805,11450.0,100.0,11450.0,100.0,487,98.582,11372.67,99.325,11372.67,99.325,514,100.0,11450.0,100.0,11450.0,100.0
WMT,1:1,2000,989,1040,50094,50094,1039,99.903,50094.0,100.0,50094.0,100.0,1039,99.903,50094.0,100.0,50094.0,100.0,979,98.988,49929.52,99.672,49929.52,99.672,1040,100.0,50094.0,100.0,50094.0,100.0
WMT,1:1,5000,2502,2503,10648745,10648745,2503,100.0,10648745.0,100.0,10648745.0,100.0,2502,99.96,10648745.0,100.0,10648745.0,100.0,2502,100.0,10648745.0,100.0,10648745.0,100.0,2502,99.96,10648441.41,99.997,10648441.41,99.997
WMT,1:1,10000,5025,5042,192168293,192168293,5041,99.98,192168293.0,100.0,192168293.0,100.0,5041,99.98,192168293.0,100.0,192168293.0,100.0,5016,99.82,191910711.25,99.866,191910711.25,99.866,5042,100.0,192168293.0,100.0,192168293.0,100.0
WMT,1:1,20000,10051,10081,452743723,452743723,10080,99.99,452743723.0,100.0,452743723.0,100.0,10080,99.99,452743723.0,100.0,452743723.0,100.0,10028,99.771,452523521.08,99.951,452523521.08,99.951,10081,100.0,452743723.0,100.0,452743723.0,100.0
WMT,1:1,24226,12133,12140,685694234,685694234,12140,100.0,685694234.0,100.0,685694234.0,100.0,12139,99.991,685694234.0,100.0,685694234.0,100.0,12131,99.983,685673366.95,99.997,685673366.95,99.997,12139,99.991,685683806.49,99.998,685683806.49,99.998
X,1:1,2,2,2,6500,6500,1,50.0,6125.0,94.231,5750.0,88.462,1,50.0,6125.0,94.231,5750.0,88.462,1,50.0,4562.5,70.192,4562.5,70.192,1,50.0,4562.5,70.192,4562.5,70.192
X,1:1,3,2,2,9375,9375,2,100.0,9375.0,100.0,9375.0,100.0,1,50.0,6375.0,68.0,3375.0,36.0,2,100.0,9375.0,100.0,9375.0,100.0,2,100.0,9375.0,100.0,9375.0,100.0
X,1:1,4,3,3,10125,10125,2,66.666,9500.0,93.827,8250.0,81.481,2,66.666,9500.0,93.827,8250.0,81.481,3,100.0,10125.0,100.0,10125.0,100.0,3,100.0,10125.0,100.0,10125.0,100.0
X,1:1,5,4,4,11750,11750,3,75.0,11375.0,96.809,10250.0,87.234,3,75.0,11375.0,96.809,10250.0,87.234,4,100.0,11750.0,100.0,11750.0,100.0,4,100.0,11750.0,100.0,11750.0,100.0
X,1:1,10,7,8,14000,14000,7,87.5,14000.0,100.0,14000.0,100.0,7,87.5,14000.0,100.0,14000.0,100.0,7,100.0,14000.0,100.0,14000.0,100.0,7,87.5,12703.12,90.737,12703.12,90.737
X,1:1,15,8,9,21875,21875,9,100.0,21875.0,100.0,21875.0,100.0,8,88.888,21875.0,100.0,21875.0,100.0,8,100.0,21875.0,100.0,21875.0,100.0,8,88.888,20180.56,92.254,20180.56,92.254
X,1:1,25,14,16,33375,33375,15,93.75,33375.0,100.0,33375.0,100.0,15,93.75,33375.0,100.0,33375.0,100.0,13,92.857,32517.86,97.432,32517.86,97.432,15,93.75,32039.06,95.997,32039.06,95.997
X,1:1,50,29,30,52375,52375,29,96.666,52375.0,100.0,52375.0,100.0,29,96.666,52375.0,100.0,52375.0,100.0,28,96.551,51625.0,98.568,51625.0,98.568,30,100.0,52375.0,100.0,52375.0,100.0
X,1:1,100,53,54,158125,158125,53,98.148,158125.0,100.0,158125.0,100.0,53,98.148,158125.0,100.0,158125.0,100.0,53,100.0,158125.0,100.0,158125.0,100.0,53,98.148,156800.93,99.163,156800.93,99.163
X,1:1,500,257,262,1496125,1496125,261,99.618,1496125.0,100.0,1496125.0,100.0,261,99.618,1496125.0,100.0,1496125.0,100.0,252,98.054,1486769.46,99.375,1486769.46,99.375,262,100.0,1496125.0,100.0,1496125.0,100.0
X,1:1,1000,506,508,5741625,5741625,507,99.803,5741625.0,100.0,5741625.0,100.0,507,99.803,5741625.0,100.0,5741625.0,100.0,506,100.0,5741625.0,100.0,5741625.0,100.0,508,100.0,5741625.0,100.0,5741625.0,100.0
X,1:1,2000,1024,1031,9363986,9363986,1030,99.903,9363986.0,100.0,9363986.0,100.0,1030,99.903,9363986.0,100.0,9363986.0,100.0,1014,99.023,9318357.59,99.513,9318357.59,99.513,1031,100.0,9363986.0,100.0,9363986.0,100.0
X,1:1,5000,2529,2536,83561663,83561663,2535,99.96,83561663.0,100.0,83561663.0,100.0,2535,99.96,83561663.0,100.0,83561663.0,100.0,2521,99.683,83488519.5,99.912,83488519.5,99.912,2536,100.0,83561663.0,100.0,83561663.0,100.0
X,1:1,10000,5068,5068,123842108,123842108,5068,100.0,123842108.0,100.0,123842108.0,100.0,5067,99.98,123842098.0,100.0,123791428.0,99.959,5067,99.98,123834321.94,99.994,123834321.94,99.994,5067,99.98,123834321.94,99.994,123834321.94,99.994
X,1:1,14816,7519,7520,216493222,216493222,7519,99.986,216493222.0,100.0,216493222.0,100.0,7519,99.986,216493222.0,100.0,216493222.0,100.0,7518,99.986,216472892.72,99.991,216472892.72,99.991,7519,99.986,216484759.58,99.996,216484759.58,99.996
